Number,Place,AgeCategory,Gender,Province,Swim,T1,Cycle,T2,Run
152,146,30-39,F,Munster,887,166,2798,113,1863
153,10,30-39,F,Munster,666,80,2342,54,1207
154,81,30-39,F,Munster,856,131,2513,83,1633
155,151,30-39,F,Connacht,1015,229,2891,101,1643
156,93,30-39,F,Leinster,837,115,2580,87,1711
157,181,30-39,F,Leinster,1243,156,2937,119,2412
158,,30-39,F,Leinster,977,136,2955,98,
159,152,30-39,F,Leinster,825,168,2955,92,1871
160,106,30-39,F,Leinster,770,158,2667,96,1739
161,158,30-39,F,Leinster,947,122,2734,105,2131
162,166,40-49,F,Leinster,835,218,3120,128,1945
163,161,40-49,F,Connacht,957,234,3181,92,1716
164,65,40-49,F,Ulster,939,176,2336,68,1602
165,110,40-49,F,Ulster,979,131,2416,27,1900
166,164,40-49,F,Munster,1064,140,3028,121,1881
167,182,40-49,F,Connacht,1283,189,3394,118,2001
168,16,40-49,F,Ulster,624,76,2378,48,1356
169,125,40-49,F,Leinster,765,152,2746,83,1868
170,,40-49,F,Munster,949,146,2727,66,
171,83,40-49,M,Leinster,727,188,2511,189,1604
172,54,40-49,F,Leinster,812,167,2304,66,1666
173,85,40-49,F,Leinster,912,151,2458,89,1626
174,78,40-49,F,Connacht,1019,143,2492,113,1423
175,127,50+,F,Munster,832,143,2756,93,1825
176,122,50+,F,Connacht,1063,205,4285,,
177,115,50+,F,Munster,828,220,2661,83,1696
178,184,50+,F,Munster,1217,567,3443,118,2543
179,74,30-39,F,Munster,861,160,2649,58,1449
180,140,30-39,F,Connacht,822,166,2821,80,1882
181,126,20-29,F,Leinster,769,162,2635,94,1983
182,25,30-39,M,Leinster,648,120,2498,63,1328
183,1,30-39,M,Ulster,577,73,1867,47,1195
184,143,30-39,F,Leinster,778,186,2932,96,1818
185,178,30-39,M,Munster,1804,247,2720,99,1735
186,42,30-39,M,Leinster,645,157,2540,75,1476
187,68,40-49,F,Leinster,864,164,2632,61,1417
188,120,20-29,F,Leinster,915,126,2792,67,1636
