date,open,high,low,close
04/01/2021,163.5,163.600006,157.201004,159.331497
05/01/2021,158.300507,161.169006,158.253006,160.925507
06/01/2021,157.324005,159.875504,156.557999,156.919006
07/01/2021,157.850006,160.427002,157.75,158.108002
08/01/2021,159,159.531998,157.110001,159.134995
11/01/2021,157.400497,157.819,155.5,155.710495
12/01/2021,156,157.106995,154.300003,156.041504
13/01/2021,156.421997,159.497498,156.104004,158.294495
14/01/2021,158.376007,158.899994,156.029495,156.373505
15/01/2021,156.151001,157.127502,154.758499,155.212494
19/01/2021,155.350006,157.25,154.800003,156.037994
20/01/2021,159.099503,163.990005,158.75,163.169006
21/01/2021,164.649994,167.427505,164.4785,165.349503
22/01/2021,165.2155,166.095505,164.158005,164.611496
25/01/2021,166.425003,168.194504,162.157501,164.699997
26/01/2021,164.817993,166.899994,164.143494,166.306503
27/01/2021,167.074493,167.326004,160.354004,161.628998
28/01/2021,161.751999,165.084,161.434494,161.880997
29/01/2021,161.5,161.849503,159.227493,160.309998
01/02/2021,162.117996,167.513,161.751495,167.143997
02/02/2021,169,171.386993,168.056503,169
03/02/2021,171.250504,171.699997,165.431,165.626495
04/02/2021,166.5,167.350006,163.887497,166.550003
05/02/2021,165.949997,168.850006,165.135498,167.607498
08/02/2021,167.925003,168.25,165.199997,166.147003
09/02/2021,165.624496,166.899994,164.891998,165.25
10/02/2021,165.699997,165.897507,162.699997,164.328995
11/02/2021,164.600006,164.600006,162.403,163.106506
12/02/2021,162.5,164.012497,161.665497,163.885498
16/02/2021,162.702499,165.414993,162.679504,163.447495
17/02/2021,163.179993,166.045502,162.975006,165.432007
18/02/2021,164.121002,166.899994,163.697006,166.411499
19/02/2021,166.411499,166.675003,162.287506,162.494995
22/02/2021,160.406494,161.615997,158.613007,159.037003
23/02/2021,156.351501,160.236496,154.679993,159.725006
24/02/2021,158.337494,158.561493,156.268997,157.976501
25/02/2021,156.837006,158.912994,152.388,152.858002
26/02/2021,154.759995,156.121994,151.835007,154.6465
01/03/2021,156.394501,157.477997,154.899506,157.307007
02/03/2021,157.173492,158.175995,154.356003,154.726501
03/03/2021,154.059006,155.389008,149.75,150.25
04/03/2021,150.600006,152.906494,147.2715,148.878494
05/03/2021,150.25,150.449997,144.050003,150.022995
08/03/2021,150.75,153.229507,147.565506,147.597504
09/03/2021,150.899506,154.548004,150.257507,153.142502
10/03/2021,154.922501,155.822998,151.502502,152.882004
11/03/2021,155.2005,156.589005,154.1465,155.679504
12/03/2021,153.75,154.949005,152.274994,154.474503
15/03/2021,153.7285,154.112,151.604507,154.084
16/03/2021,155.248505,156.445496,153.792999,154.593002
17/03/2021,153.660995,158.652496,153.511002,156.786499
18/03/2021,155.050003,155.831497,151.25,151.399506
19/03/2021,151.461502,153.864502,150.831497,153.748001
22/03/2021,153.392502,156.328995,153.002502,155.543503
23/03/2021,156.350006,159.100006,156.042496,156.875
24/03/2021,157.552002,158.015503,154.257507,154.3535
25/03/2021,153.649506,155.488998,151.856995,152.313004
26/03/2021,152.203003,152.832993,149.800003,152.601501
29/03/2021,152.772003,154.5625,151.422501,153.786499
30/03/2021,153.500504,153.649994,151.699997,152.764496
31/03/2021,153.203003,155.966507,153.125,154.703995
01/04/2021,155.897003,158.121994,155.777496,158.050003
05/04/2021,158.649994,161.798004,158.061996,161.336502
06/04/2021,161.1875,162.365494,160.852005,161.190994
07/04/2021,161.690002,165.180496,161.182495,163.969498
08/04/2021,165.544998,166.225006,164.600006,164.964996
09/04/2021,165.235001,168.610001,164.445007,168.610001
12/04/2021,167.760498,169.751999,167.557495,168.969498
13/04/2021,170.042496,171.600006,169.781494,170
14/04/2021,170.201996,170.206497,166.300003,166.649994
15/04/2021,168.550003,169.850006,167.600006,168.954498
16/04/2021,169,170.339996,167.779495,169.972
19/04/2021,169.516495,171.796494,168.007996,168.600494
20/04/2021,168.679993,169.149506,165.800003,166.734497
21/04/2021,165.800003,168.143005,165.190506,168.100998
22/04/2021,168.584,168.643494,165.072495,165.451996
23/04/2021,165.955002,168.75,165.425003,167.044006
26/04/2021,167.399994,171.422501,166.546997,170.449997
27/04/2021,172.173492,173,169.900497,170.871506
28/04/2021,171.740005,174.494003,171.25,172.925003
29/04/2021,175.255005,175.722504,171.75,173.565506
30/04/2021,176.255997,177.699997,173.125,173.371002
03/05/2021,174.236496,174.332504,168.634995,169.324493
04/05/2021,167.809494,168.399002,163.606506,165.593506
05/05/2021,166.942993,167.735001,163.218002,163.526993
06/05/2021,163.5,165.720001,162.360001,165.318497
07/05/2021,165.954498,166.544495,164.453506,164.580505
10/05/2021,164.115997,164.149994,159.5,159.524506
11/05/2021,156.813995,161.899994,156.3685,161.195496
12/05/2021,159.25,160.397003,156.654999,157.597
13/05/2021,159.273499,160.192001,156.649994,158.073502
14/05/2021,159.278,161.442993,159.149994,161.145004
17/05/2021,162.296494,164.637497,161.729507,163.519501
18/05/2021,164.628998,165.600006,161.518494,161.613998
19/05/2021,159.75,161.737503,159.199997,161.589996
20/05/2021,162.220001,162.983994,161.809006,162.384003
21/05/2021,162.5,162.834503,159.850494,160.154007
24/05/2021,160.774994,162.897507,160.524994,162.249496
25/05/2021,163.333496,163.990997,160.688004,162.952499
26/05/2021,163.729507,164.786499,162.925507,163.257996
27/05/2021,162.800003,163.018005,161.501999,161.505493
28/05/2021,162.100006,162.399506,160.985001,161.153503
01/06/2021,162.175003,162.548996,160.453003,160.932495
02/06/2021,161.154999,161.75,160.399994,161.699493
03/06/2021,160.211502,160.722,159.201508,159.350494
04/06/2021,160.600006,161.050003,159.940506,160.311005
07/06/2021,159.866501,160.399994,158.610001,159.900497
08/06/2021,161.130493,163.976501,160.900497,163.205505
09/06/2021,163.643494,164.878998,163.535004,164.057495
10/06/2021,164.100494,167.550003,164.057495,167.482498
11/06/2021,167.482498,168.328995,166.672501,167.341507
14/06/2021,167.341507,169.25,166.774994,169.193497
15/06/2021,169.199997,169.849503,168.155502,169.156494
16/06/2021,169.600006,171.317505,168.026505,170.762497
17/06/2021,170.158997,174.860001,170.050003,174.462006
18/06/2021,173.999496,175.350006,173.685501,174.345001
21/06/2021,173.820999,174.100006,171.699997,172.697998
22/06/2021,172.903,176.188995,172.804504,175.272003
23/06/2021,175.25,176.050003,174.160004,175.190994
24/06/2021,175.382004,176.242996,171.542496,172.453995
25/06/2021,173.199997,173.240997,169.709,170.072998
28/06/2021,170.800003,172.399994,170.675507,172.194504
29/06/2021,171.940994,172.801498,171.151505,172.406998
30/06/2021,172.052994,173.580002,171.75,172.007996
01/07/2021,171.730499,172.850006,170.470993,171.648499
02/07/2021,172.582001,175.585999,171.845993,175.548996
06/07/2021,176.505493,184.274002,176.449997,183.787003
07/07/2021,185.869003,186.710007,183.945496,184.828995
08/07/2021,182.177994,187.999496,181.056,186.570496
09/07/2021,186.126007,187.399994,184.669998,185.966995
12/07/2021,187.199997,187.864502,184.839493,185.927505
13/07/2021,185.104996,188.654007,183.565994,183.867996
14/07/2021,185.442505,185.882996,183.041504,184.084
15/07/2021,184.710007,184.770004,181.046005,181.559998
16/07/2021,181.665497,182.302994,178.522995,178.681503
19/07/2021,176.628998,177.510498,174.957993,177.479507
20/07/2021,178.365997,179.600006,175.899994,178.6595
21/07/2021,178.819,179.322495,177.182007,179.259995
22/07/2021,179.361496,182.001007,179.113495,181.901505
23/07/2021,182,183.305496,181.102005,182.832001
26/07/2021,183.658493,185.604004,182.362503,184.990997
27/07/2021,184.925003,184.925003,179.307495,181.319504
28/07/2021,181.688995,182.921005,180.050003,181.516006
29/07/2021,181.387497,181.897507,179.000504,179.996002
30/07/2021,167.397507,168.406998,165.348999,166.379501
02/08/2021,167.654999,167.945999,165.850006,166.574005
03/08/2021,167.035995,169.550003,164.988495,168.311996
04/08/2021,168.967499,169.444,167.278,167.735992
05/08/2021,167.811005,169.449997,167.046005,168.7995
06/08/2021,168.75,168.75,166.451996,167.246994
09/08/2021,167.180496,167.744003,166.425995,167.093506
10/08/2021,167.250504,167.899994,165.75,166.033997
11/08/2021,166.572495,166.884995,163.889496,164.605499
12/08/2021,164.5,165.725494,163.483505,165.175003
13/08/2021,165.283493,165.303497,164.149994,164.698502
16/08/2021,164.149994,165,160.556503,164.949493
17/08/2021,163.875,164.024506,161.283997,162.098007
18/08/2021,162.099503,162.705002,160,160.061005
